,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),Order_Hour,Order_Min,Picked_Hour,Picked_Min
48,39.0,4.2,Fog,Jam,2,Snack,scooter,1.0,No,Semi-Urban,49,20,35,20,50
49,32.0,4.5,Windy,Low,2,Buffet,scooter,0.0,No,,20,09,25,09,40
50,36.0,4.7,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,30,20,15,20,20
51,25.0,4.8,Sandstorms,Low,1,Drinks,scooter,0.0,No,Urban,18,22,25,22,35
52,33.0,4.9,Sunny,Jam,2,Drinks,scooter,0.0,No,Metropolitian,22,21,55,0.916666667,
53,30.0,4.4,Cloudy,Low,2,Drinks,scooter,1.0,No,Metropolitian,34,22,40,22,55
54,33.0,5.0,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Urban,24,23,50,23,55
55,36.0,4.9,Fog,Medium,2,Drinks,scooter,1.0,No,Metropolitian,17,15,25,15,40
56,21.0,4.8,Sandstorms,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,14,10,20,10,30
57,39.0,4.9,Stormy,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,30,20,55,0.875,
58,23.0,4.8,Stormy,Low,1,Meal,scooter,1.0,No,Metropolitian,15,10,40,10,50
59,35.0,4.8,Fog,Medium,2,Buffet,scooter,1.0,No,Urban,16,15,55,16,05
60,39.0,4.6,Cloudy,Jam,1,Snack,scooter,1.0,No,Metropolitian,36,20,10,20,15
61,22.0,4.7,Sunny,High,1,Buffet,scooter,1.0,No,Urban,18,12,10,12,15
62,32.0,4.6,Fog,Medium,1,Meal,scooter,0.0,No,Metropolitian,17,15,30,15,45
63,24.0,4.8,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,Urban,15,22,10,22,15
64,29.0,4.7,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,17,10,35,10,45
65,,,,,1,Drinks,scooter,0.0,No,Metropolitian,19,,,15,30
66,26.0,4.7,Fog,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,10,23,50,24,05
67,20.0,4.5,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,27,21,10,21,25
68,35.0,4.1,Sandstorms,Jam,1,Buffet,motorcycle,2.0,No,Metropolitian,37,20,25,20,40
69,39.0,4.6,Fog,Jam,1,Drinks,scooter,2.0,No,Metropolitian,44,20,50,0.875,
70,34.0,4.7,Windy,High,2,Drinks,electric_scooter,1.0,No,Metropolitian,28,12,35,12,45
71,27.0,4.7,Cloudy,Jam,2,Snack,scooter,1.0,No,Metropolitian,42,0.875,,21,15
72,30.0,4.8,Windy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,25,23,40,23,55
73,25.0,4.4,Cloudy,Medium,2,Snack,scooter,1.0,No,Metropolitian,39,18,15,18,20
74,25.0,4.7,Stormy,Medium,0,Meal,motorcycle,0.0,No,Urban,20,18,20,18,25
75,30.0,5.0,Stormy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,31,11,45,11,50
76,24.0,4.6,Stormy,Jam,1,Buffet,motorcycle,0.0,No,Metropolitian,13,20,45,20,55
77,39.0,4.8,Stormy,Jam,1,Meal,motorcycle,,No,Metropolitian,28,21,55,22,10
78,25.0,4.8,Windy,High,1,Snack,scooter,1.0,No,Urban,19,12,45,12,50
79,37.0,4.6,Fog,Low,0,Buffet,motorcycle,2.0,Yes,Urban,42,23,30,23,45
80,24.0,5.0,Fog,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,23,10,50,10,55
81,25.0,4.2,Stormy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,39,21,25,21,40
82,32.0,4.6,Stormy,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,25,10,10,10,20
83,34.0,4.7,Sandstorms,Low,1,Drinks,scooter,0.0,No,Metropolitian,15,0.958333333,,23,05
84,38.0,4.9,Cloudy,Low,2,Drinks,scooter,1.0,No,Urban,15,08,40,08,55
85,36.0,4.8,Sunny,Medium,2,Buffet,electric_scooter,0.0,No,Metropolitian,15,17,50,17,55
86,25.0,5.0,Stormy,Jam,1,Meal,motorcycle,,No,Metropolitian,15,20,25,20,40
87,29.0,5.0,Sunny,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,18,22,20,22,25
88,36.0,4.7,Sandstorms,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,29,23,40,23,50
89,33.0,4.7,Fog,Low,0,Snack,motorcycle,0.0,No,Metropolitian,20,23,25,23,30
90,36.0,4.4,Cloudy,High,2,Meal,scooter,1.0,No,Metropolitian,39,12,40,12,55
91,21.0,4.8,Windy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,19,23,30,23,45
92,25.0,4.8,Cloudy,Low,1,Snack,scooter,1.0,No,Urban,19,23,55,24,10
93,23.0,4.8,Windy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,17,22,50,0.958333333,
94,25.0,4.6,Stormy,Low,2,Snack,motorcycle,1.0,No,Urban,15,10,25,10,40
95,24.0,4.3,Sandstorms,Low,0,Meal,motorcycle,0.0,No,Urban,19,08,45,0.375,
96,27.0,4.6,Sandstorms,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,29,21,25,21,40
97,23.0,4.8,Cloudy,Low,2,Snack,scooter,1.0,No,Urban,22,22,35,22,40
98,21.0,4.3,Fog,Jam,1,Drinks,scooter,0.0,No,Metropolitian,42,20,10,20,20
99,27.0,4.7,Sandstorms,Low,2,Snack,scooter,0.0,No,Urban,12,10,55,11,10
100,32.0,4.2,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,38,20,35,20,45
101,25.0,4.6,Sunny,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,23,23,20,23,35
102,39.0,4.7,Cloudy,Low,1,Meal,scooter,0.0,No,Metropolitian,15,10,35,10,50
103,27.0,4.6,Sunny,Low,0,Snack,motorcycle,1.0,No,Metropolitian,24,23,45,23,50
104,39.0,3.8,Windy,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,37,19,55,0.833333333,
105,31.0,4.8,Sandstorms,Low,1,Snack,scooter,0.0,No,Metropolitian,24,22,15,22,25
106,31.0,4.8,Sunny,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,13,23,10,23,15
107,20.0,4.8,Cloudy,Low,0,Drinks,motorcycle,0.0,No,,16,09,15,09,30
108,36.0,4.9,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Urban,42,18,25,18,35
109,20.0,4.9,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,17,22,10,22,20
110,24.0,4.6,Cloudy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,25,20,50,21,05
111,,,,,3,Snack,electric_scooter,0.0,No,Metropolitian,25,,,18,25
112,39.0,4.2,Fog,Medium,1,Snack,scooter,0.0,No,Metropolitian,39,18,45,18,50
113,37.0,4.8,Sunny,High,2,Meal,scooter,0.0,No,Metropolitian,18,14,55,15,05
114,32.0,4.9,Sandstorms,Medium,2,Drinks,motorcycle,1.0,No,Metropolitian,28,16,50,0.708333333,
115,22.0,4.5,Sandstorms,Low,1,Drinks,scooter,1.0,No,Metropolitian,18,22,20,22,35
116,23.0,4.9,Windy,Low,1,Meal,scooter,0.0,No,Metropolitian,18,1,,24,15
117,33.0,4.7,Fog,Jam,1,Snack,scooter,1.0,No,Metropolitian,49,21,10,21,20
118,23.0,,Sunny,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,15,23,25,23,35
119,27.0,4.6,Sunny,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,21,23,30,23,35
120,34.0,4.7,Sunny,High,2,Snack,scooter,0.0,No,Metropolitian,23,14,20,14,35
121,26.0,5.0,Fog,Low,2,Meal,scooter,1.0,No,Urban,11,10,15,10,25
122,31.0,4.6,Cloudy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,25,21,20,21,35
123,32.0,4.9,Fog,Low,2,Snack,motorcycle,0.0,No,Metropolitian,18,08,50,08,55
124,27.0,4.7,Cloudy,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,14,0.375,,09,05
125,21.0,4.9,Windy,Medium,0,Drinks,motorcycle,2.0,No,Metropolitian,36,17,45,0.75,
126,28.0,4.8,Fog,Low,1,Drinks,motorcycle,,No,Metropolitian,18,23,10,23,15
127,24.0,4.9,Fog,Medium,1,Meal,scooter,1.0,No,Urban,17,16,35,16,50
128,33.0,4.4,Sandstorms,Low,0,Snack,motorcycle,1.0,No,Metropolitian,28,08,30,08,40
129,20.0,4.6,Fog,Jam,0,Buffet,motorcycle,0.0,Yes,Metropolitian,44,20,35,20,50
130,31.0,4.3,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,20,23,25,23,40
131,,,Stormy,Low,2,Snack,scooter,0.0,No,,19,,,23,40
132,36.0,5.0,Fog,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,35,19,55,20,05
133,31.0,4.2,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,50,21,20,21,30
134,39.0,4.1,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,34,21,45,21,50
135,29.0,4.6,Sunny,Jam,2,Meal,electric_scooter,,No,Metropolitian,17,19,40,19,55
136,29.0,4.6,Sandstorms,High,1,Snack,scooter,0.0,No,Urban,23,14,50,0.625,
137,37.0,4.9,Fog,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,27,18,10,18,20
138,33.0,4.7,Cloudy,High,0,Snack,motorcycle,0.0,No,Urban,26,12,20,12,30
139,31.0,3.9,Cloudy,Low,1,Buffet,scooter,1.0,No,Metropolitian,35,23,40,23,50
140,37.0,4.6,Windy,High,0,Drinks,motorcycle,1.0,No,Urban,41,12,50,12,55
141,26.0,4.4,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,,23,23,20,23,30
142,24.0,4.6,Stormy,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,30,17,50,0.75,
143,23.0,4.8,Windy,Low,1,Buffet,scooter,1.0,No,Metropolitian,19,10,25,10,35
144,36.0,4.9,Windy,Low,1,Buffet,scooter,1.0,No,Metropolitian,27,09,10,09,25
145,39.0,4.8,Cloudy,High,0,Snack,motorcycle,1.0,No,Metropolitian,28,12,30,12,45
146,20.0,4.7,Sandstorms,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,24,17,10,17,20
147,20.0,5.0,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Urban,36,19,15,19,30
148,29.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,28,23,50,23,55
149,36.0,4.8,Fog,Medium,2,Drinks,motorcycle,1.0,No,Urban,31,18,45,18,50
150,36.0,4.0,Sunny,Jam,0,Meal,motorcycle,3.0,No,Metropolitian,44,20,40,20,45
151,22.0,4.8,Windy,Low,1,Drinks,scooter,1.0,No,Metropolitian,15,22,10,22,25
152,38.0,4.4,Windy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,33,17,20,17,25
153,39.0,4.9,Fog,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,30,19,55,20,10
154,24.0,4.9,Stormy,Medium,1,Snack,scooter,1.0,No,Metropolitian,22,18,15,18,25
155,30.0,4.1,Fog,Low,0,Snack,motorcycle,0.0,No,Metropolitian,43,23,50,1,
156,35.0,4.8,Fog,Medium,0,Meal,motorcycle,3.0,No,Metropolitian,48,17,25,17,35
157,33.0,4.5,Stormy,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,19,23,45,1,
158,39.0,4.7,Windy,Medium,1,Snack,motorcycle,1.0,No,Urban,21,18,30,18,35
159,31.0,4.3,Windy,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,44,21,35,21,45
160,37.0,4.5,Windy,Low,2,Drinks,scooter,0.0,No,Metropolitian,26,08,40,08,55
161,37.0,4.7,Windy,Low,1,Buffet,scooter,1.0,No,Metropolitian,26,22,35,22,40
162,33.0,5.0,Windy,High,1,Meal,motorcycle,1.0,No,Metropolitian,31,11,45,11,50
163,24.0,4.6,Stormy,Low,2,Meal,scooter,1.0,No,Urban,19,23,25,23,40
164,33.0,4.5,Sunny,Jam,1,Snack,scooter,0.0,No,Metropolitian,18,19,10,19,15
165,39.0,4.7,Fog,Medium,2,Meal,motorcycle,1.0,No,Metropolitian,38,18,45,0.791666667,
166,37.0,4.6,Cloudy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,32,18,15,18,25
167,25.0,4.9,Sandstorms,Low,2,Meal,scooter,1.0,No,Metropolitian,17,22,30,22,35
168,28.0,4.8,Fog,Medium,1,Buffet,scooter,1.0,No,Urban,11,0.791666667,,19,05
169,38.0,4.7,Windy,High,2,Buffet,motorcycle,1.0,No,Metropolitian,31,13,10,13,20
170,,,Sandstorms,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,43,,,17,50
171,31.0,4.6,Windy,Medium,0,Meal,motorcycle,0.0,No,Metropolitian,25,17,55,18,05
172,25.0,4.8,Cloudy,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,22,19,50,20,05
173,35.0,4.9,Fog,Jam,0,Drinks,motorcycle,3.0,No,Metropolitian,43,21,15,21,20
174,39.0,4.7,Fog,Jam,0,Buffet,motorcycle,1.0,Yes,Metropolitian,42,19,35,19,45
175,38.0,3.9,Stormy,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,42,19,10,19,20
176,35.0,4.7,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,34,21,20,21,30
177,29.0,4.7,Sandstorms,Low,1,Snack,motorcycle,1.0,No,Metropolitian,17,09,50,10,05
178,27.0,4.6,Stormy,Jam,1,Snack,scooter,0.0,No,Metropolitian,25,20,35,20,40
179,38.0,4.3,Sandstorms,Jam,0,Meal,motorcycle,1.0,Yes,Semi-Urban,54,21,15,21,25
180,36.0,4.9,Windy,Low,2,Buffet,motorcycle,0.0,No,Metropolitian,21,0.958333333,,23,15
181,26.0,4.0,Cloudy,High,1,Buffet,motorcycle,,No,Metropolitian,34,0.625,,15,10
182,26.0,4.1,Fog,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,36,19,45,19,50
183,36.0,4.9,Sunny,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,17,17,45,17,55
184,21.0,4.7,Sunny,Low,0,Meal,motorcycle,1.0,No,Metropolitian,16,0.375,,09,10
185,35.0,4.7,Sunny,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,27,0.833333333,,20,05
186,20.0,4.5,Fog,High,2,Meal,motorcycle,1.0,No,Metropolitian,26,12,50,12,55
187,23.0,4.6,Fog,Jam,0,Snack,motorcycle,2.0,Yes,Metropolitian,46,21,40,21,55
188,37.0,5.0,Sunny,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,29,19,55,20,05
189,26.0,4.8,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,23,19,35,19,40
190,29.0,5.0,Sandstorms,Low,1,Snack,scooter,,No,Urban,11,22,35,22,50
191,26.0,4.9,Stormy,Medium,1,Snack,motorcycle,0.0,No,Metropolitian,28,17,10,17,25
192,29.0,4.8,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,25,19,35,19,40
193,29.0,4.7,Sandstorms,Low,2,Snack,motorcycle,0.0,No,Metropolitian,11,10,30,10,45
194,21.0,4.9,Windy,Medium,1,Meal,scooter,1.0,No,Metropolitian,26,18,10,18,20
195,22.0,4.3,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,23,10,10,10,25
196,31.0,4.0,Fog,Medium,1,Snack,motorcycle,2.0,No,Metropolitian,39,17,50,18,05
197,20.0,4.5,Fog,Low,1,Snack,motorcycle,0.0,No,,11,08,50,0.375,
198,30.0,3.9,Stormy,Jam,2,Drinks,electric_scooter,,No,Metropolitian,32,19,55,20,10
199,36.0,4.8,Fog,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,43,17,55,18,10
200,24.0,4.7,Fog,Medium,1,Buffet,scooter,,No,Metropolitian,13,15,30,15,40
201,32.0,4.7,Windy,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,25,09,40,09,50
202,25.0,5.0,Windy,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,27,18,20,18,25
203,27.0,4.5,Windy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,29,15,35,15,50
204,32.0,4.1,Sandstorms,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,33,18,15,18,30
205,23.0,4.7,Fog,Medium,1,Drinks,motorcycle,1.0,No,Urban,19,16,55,0.708333333,
206,39.0,4.4,Sunny,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,33,18,10,18,15
207,20.0,4.8,Fog,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,28,19,15,19,20
208,20.0,4.8,Windy,Medium,2,Drinks,electric_scooter,0.0,No,,15,18,25,18,35
209,29.0,4.6,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,29,20,30,20,45
210,26.0,4.9,Stormy,Low,2,Meal,scooter,1.0,No,Metropolitian,18,22,55,0.958333333,
211,25.0,5.0,Stormy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,14,10,55,0.458333333,
212,34.0,4.7,Windy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,30,0.666666667,,16,15
213,31.0,4.9,Sunny,High,0,Snack,motorcycle,0.0,No,Metropolitian,28,14,50,15,05
214,24.0,4.7,Fog,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,39,20,20,20,25
215,30.0,4.9,Cloudy,Medium,2,Meal,motorcycle,0.0,No,Metropolitian,30,0.791666667,,19,15
216,36.0,4.8,Sandstorms,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,36,18,15,18,20
217,36.0,4.4,Fog,Low,0,Snack,motorcycle,,No,Metropolitian,37,23,35,23,50
218,26.0,4.7,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,43,19,35,19,40
219,30.0,4.6,Sunny,Low,2,Buffet,scooter,1.0,No,,29,23,35,23,45
220,20.0,4.8,Stormy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,25,0.75,,18,15
221,33.0,4.7,Fog,Medium,2,Buffet,electric_scooter,1.0,No,Urban,15,18,10,18,25
222,,,Sandstorms,Jam,1,Snack,scooter,0.0,No,Metropolitian,24,,,20,50
223,34.0,4.0,Windy,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,39,21,10,21,15
224,36.0,4.6,Windy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,20,23,40,23,50
225,33.0,4.6,Fog,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,15,0.458333333,,11,10
226,22.0,4.8,Sandstorms,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,16,22,45,0.958333333,
227,38.0,4.7,Sunny,Low,2,Drinks,scooter,1.0,No,Metropolitian,19,0.458333333,,11,15
228,27.0,4.9,Fog,Low,2,Drinks,scooter,0.0,No,Metropolitian,20,23,25,23,40
229,32.0,4.8,Sunny,Jam,2,Meal,scooter,1.0,No,Metropolitian,25,0.875,,21,10
230,26.0,4.8,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,43,19,30,19,40
231,29.0,4.5,Windy,Low,0,Drinks,motorcycle,0.0,No,Urban,15,22,55,23,05
232,31.0,4.5,Sunny,Jam,0,Buffet,motorcycle,0.0,No,Urban,29,20,25,20,40
233,28.0,4.6,Stormy,High,2,Drinks,motorcycle,0.0,No,Metropolitian,14,12,35,12,50
234,21.0,4.8,Sunny,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,11,18,55,0.791666667,
235,21.0,4.0,Sandstorms,Low,0,Buffet,motorcycle,,No,Metropolitian,19,22,45,22,50
236,30.0,4.9,Windy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,29,23,45,23,55
237,29.0,4.7,Cloudy,Medium,2,Buffet,motorcycle,1.0,No,Urban,11,15,25,15,30
238,20.0,4.8,Sunny,High,1,Snack,motorcycle,0.0,No,Metropolitian,14,11,30,11,40
239,28.0,5.0,Windy,Low,0,Snack,motorcycle,0.0,No,Urban,15,22,35,22,45
240,25.0,4.7,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,16,23,35,23,45
241,,,,,3,Buffet,motorcycle,1.0,Yes,Urban,43,,,21,25
242,38.0,4.8,Stormy,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,20,10,25,10,30
243,39.0,4.9,Stormy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,26,22,20,22,30
244,26.0,4.9,Windy,Medium,1,Snack,scooter,0.0,No,Metropolitian,26,17,15,17,20
245,33.0,4.4,Windy,Jam,1,Meal,motorcycle,0.0,No,Urban,43,21,30,21,45
246,24.0,4.6,Sandstorms,Medium,0,Snack,motorcycle,1.0,No,Urban,25,18,40,18,50
247,24.0,4.9,Fog,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,28,15,10,15,20
248,33.0,4.5,Stormy,Low,2,Buffet,scooter,0.0,No,Metropolitian,17,22,50,23,05
249,35.0,4.2,Windy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,44,19,30,19,40
250,27.0,4.2,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,33,20,30,20,35
251,,,Cloudy,Medium,1,Snack,scooter,1.0,No,Urban,19,18,35,18,40
252,29.0,4.5,Sunny,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,15,18,45,18,50
253,34.0,4.7,Fog,Low,1,Buffet,scooter,1.0,No,Metropolitian,27,23,10,23,20
254,20.0,4.7,Cloudy,High,2,Meal,scooter,1.0,No,Metropolitian,25,11,10,11,25
255,29.0,4.8,Sunny,High,1,Drinks,motorcycle,1.0,No,Metropolitian,18,13,50,13,55
256,22.0,4.9,Stormy,Medium,2,Snack,scooter,0.0,No,Metropolitian,21,18,40,18,45
257,35.0,4.9,Cloudy,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,53,21,15,21,30
258,32.0,4.4,Sandstorms,Jam,0,Drinks,motorcycle,3.0,No,Metropolitian,42,21,45,21,55
259,28.0,4.9,Sunny,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,20,21,20,21,35
260,30.0,4.7,Fog,Low,1,Meal,scooter,0.0,No,Metropolitian,29,22,45,22,55
